Piglet,LiveHog,Pork,feed,corn,soybean
20.11,12.7,20.62,2.48,1.55,3.71
19.75,11.63,19.3,2.46,1.54,3.26
18.27,10.35,17.6,2.46,1.56,3.05
15.41,9.24,15.68,2.45,1.58,3.27
15.08,9.33,15.46,2.48,1.6,3.25
15.88,10.13,16.27,2.53,1.67,3.48
17.74,11.38,17.94,2.57,1.74,3.41
18.78,11.85,18.97,2.62,1.8,3.53
18.14,11.47,18.71,2.62,1.85,3.49
17.39,11.4,18.47,2.64,1.82,3.6
17.55,12.09,19.11,2.68,1.8,3.67
17.41,12.05,19.31,2.69,1.9,3.7
16.6,11.14,18.67,2.68,1.9,3.52
15.61,10.06,17.32,2.68,1.9,3.28
14.78,9.53,16.21,2.69,1.92,3.16
14.77,9.62,16.09,2.72,1.98,3.12
14.39,9.64,16.04,2.73,2.03,3.02
15.77,11.14,17.54,2.73,2.09,2.85
17.61,12.19,19.3,2.75,2.1,2.99
18.24,12.55,20.11,2.76,2.11,3.24
18.21,12.78,20.42,2.77,2.11,3.32
18.55,13.55,21.33,2.8,2.07,3.62
18.69,13.79,21.94,2.81,2.1,3.53
18.65,13.88,22.17,2.82,2.12,3.4
19.46,14.35,22.97,2.83,2.11,3.5
22.81,14.78,23.09,2.86,2.13,3.48
24.99,15.05,23.39,2.88,2.16,3.27
26.71,15.53,23.97,2.88,2.19,3.14
31.11,17.54,26.71,2.91,2.22,3.07
35.26,18.98,29.31,2.96,2.28,3.14
36.28,19.33,29.82,3,2.35,3.27
37.15,19.68,30.35,3.04,2.39,3.3
35.84,18.93,29.78,3.05,2.45,3.28
31.74,17.35,27.94,3.03,2.45,3.14
29.43,17.15,27.17,3.02,2.39,3.03
30.21,17.65,27.83,3.03,2.36,2.92
31.5,17.1,27.36,3.03,2.35,3.03
32.66,15.83,25.79,3.05,2.35,3.12
32.24,14.8,24.36,3.08,2.37,3.26
31.56,14.25,23.31,3.1,2.42,3.51
30.55,14.05,22.78,3.12,2.46,3.42
29.69,14,22.61,3.15,2.49,3.42
28.74,14.28,22.94,3.23,2.51,3.88
28.82,14.89,23.8,3.29,2.55,4.36
27.72,14.85,23.92,3.28,2.57,4.48
28.56,14.83,23.76,3.24,2.51,4.05
26.06,15.83,24.82,3.24,2.43,3.8
27.41,17.04,26.43,3.26,2.42,4.06
27.79,16.09,26.32,3.27,2.44,3.98
26.9,14.07,23.98,3.29,2.45,4.08
25.26,12.8,22.03,3.29,2.46,4.18
24.89,12.82,21.48,3.27,2.45,3.97
27.09,14.1,22.81,3.29,2.43,4.02
28.44,14.61,23.43,3.3,2.45,4.13
29.71,15.7,24.72,3.32,2.48,3.95
29.87,16.04,25.39,3.35,2.49,4.03
28.3,15.86,25.24,3.37,2.49,4.38
26.43,15.77,25.07,3.36,2.46,4.47
